Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Roseola,High fever,Irritability,Fatigue,Sore throat,Headache,Abdominal pain,Body aches,Rashes,Chills,Feverish,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Nausea,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,General discomfort,Fever,Irritability,,,,,
Norovirus Infection,Diarrhea,Muscle aches,Nausea,Headache,Abdominal pain,Rashes,General discomfort,Fever,,,,,,,,
"Hand, Foot, and Mouth Disease",Mouth sores,Red spots,Cough,Headache,General discomfort,Mild fever,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Body aches,Feverish,General discomfort,Chills,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Loss of appetite,Fatigue,Cough,Sore muscles,Headache,Mild fever,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Rash on hands and feet,Red spots,Blisters,Fatigue,Cough,Sore muscles,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Headache,Cough,Diarrhea,Vomiting,Abdominal pain,Rashes,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Stomach cramps,Headache,Muscle aches,General discomfort,Joint pain,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Nausea,Headache,Sweating,Body aches,Fever,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Cough,Diarrhea,Vomiting,Abdominal pain,Body aches,Rashes,,,,,,
Roseola,High fever,Runny nose,Swollen lymph nodes,Vomiting,Loss of appetite,Rashes,Chills,,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Abdominal pain,Loss of appetite,Chills,Body aches,Rashes,Fever,Irritability,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Loss of appetite,Chills,Sweating,Rashes,Fever,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Headache,Fatigue,Dehydration,Body aches,Fever,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Stomach cramps,Headache,Dehydration,Loss of appetite,Body aches,General discomfort,Chills,,,,,,,
Scarlet Fever,Swollen glands,Fever (100.4�F / 38.0�C or higher),"Tender, enlarged neck glands",Headache and body aches,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Muscle aches,Feverish,Rashes,Chills,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Dehydration,Muscle aches,Feverish,Rashes,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Stomach cramps,Loss of appetite,Feverish,Chills,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Rash on hands and feet,Irritability,Sore throat,Blisters,Sore muscles,General discomfort,Mild fever,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,General discomfort,Joint pain,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Sore throat,Red eyes,Diarrhea,Abdominal pain,Body aches,Rashes,Chills,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Swollen lymph nodes,Cough,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,Feverish,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Cough,Diarrhea,Vomiting,Body aches,Rashes,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Bloody stools,Headache,Fatigue,Dehydration,Muscle aches,General discomfort,Chills,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Stomach cramps,Loss of appetite,Muscle aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,,
Shigellosis (Bacillary Dysentery),Fever,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Rashes,General discomfort,Chills,,,,,,,
Roseola,Fatigue,Sore throat,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,,,,,,,,
Conjunctivitis (Pink Eye),Redness in the white of the eye (sclera) or inner eyelid,Itchy or irritated eyes,Light sensitivity (photophobia),Swollen eyelids (blepharitis),,,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Irritability,Red spots,Cough,General discomfort,Mild fever,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Swollen lymph nodes,Sore throat,Red eyes,Vomiting,Loss of appetite,Body aches,,,,,,
Norovirus Infection,Diarrhea,Fatigue,Abdominal pain,Sweating,Body aches,Rashes,Fever,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Body aches,Rashes,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Red eyes,Diarrhea,Vomiting,Abdominal pain,Body aches,Feverish,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Diarrhea,Loss of appetite,Abdominal pain,Rashes,Chills,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Headache,Fatigue,Abdominal pain,Dehydration,Chills,Body aches,Fever,Irritability,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Headache,Fatigue,Loss of appetite,Body aches,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Headache,Loss of appetite,Feverish,Chills,,,,,,,,,,
Norovirus Infection,Diarrhea,Headache,Chills,Sweating,Rashes,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Bloody stools,Stomach cramps,Headache,Loss of appetite,General discomfort,Chills,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Headache,Muscle aches,Joint pain,,,,,,,
Roseola,Runny nose,Fatigue,Swollen lymph nodes,Sore throat,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Dehydration,Muscle aches,Body aches,Feverish,General discomfort,Chills,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Bloody stools,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Nausea,Headache,Abdominal pain,Loss of appetite,Fever,Irritability,,,,,,,
Roseola,Runny nose,Rash,Swollen lymph nodes,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Headache,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Headache,Vomiting,Loss of appetite,Abdominal pain,Feverish,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Sore throat,Cough,Vomiting,Loss of appetite,Abdominal pain,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Loss of appetite,Muscle aches,Rashes,General discomfort,Chills,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Bloody stools,Stomach cramps,Headache,Muscle aches,Body aches,Feverish,Rashes,,,,,,,
Norovirus Infection,Diarrhea,Muscle aches,Headache,Loss of appetite,Sweating,Rashes,Fever,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Headache,Loss of appetite,Body aches,Feverish,Rashes,Chills,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Nausea,Headache,Loss of appetite,Dehydration,Chills,Body aches,General discomfort,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Headache,Fatigue,Dehydration,Chills,Sweating,Body aches,Fever,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Fatigue,Dehydration,Muscle aches,Feverish,Chills,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Fatigue,Dehydration,Chills,Sweating,Body aches,Irritability,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Feverish,Rashes,General discomfort,Joint pain,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Nausea,Fatigue,Abdominal pain,Dehydration,Sweating,Irritability,,,,,,,
Roseola,Rash,Irritability,Swollen lymph nodes,Vomiting,Loss of appetite,Body aches,Rashes,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Joint pain,,,,,
Shigellosis (Bacillary Dysentery),Fever,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Joint pain,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Stomach cramps,Fatigue,Dehydration,General discomfort,Chills,,,,,,,,,
Roseola,High fever,Irritability,Fatigue,Headache,Red eyes,Vomiting,Body aches,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Dehydration,Body aches,Feverish,General discomfort,Chills,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Fever,Irritability,,,
Roseola,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Red eyes,Body aches,Rashes,Chills,Feverish,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Nausea,Fatigue,Abdominal pain,Dehydration,Chills,Body aches,Fever,,,,,,
Scarlet Fever,Swollen glands,Fever,Sore throat,Red rash on the body,Strawberry tongue,Difficulty swallowing,Abdominal pain,Headache and body aches,,,,,,,,
Roseola,High fever,Fatigue,Headache,Abdominal pain,Rashes,,,,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Sore throat,Headache,Vomiting,,,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Nausea,Abdominal pain,Loss of appetite,Chills,Sweating,Body aches,Fever,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,General discomfort,Chills,,,,,
Roseola,High fever,Runny nose,Irritability,Sore throat,Red eyes,Diarrhea,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Feverish,Rashes,Joint pain,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Rash on hands and feet,Sore throat,Red spots,Fatigue,General discomfort,Mild fever,Difficulty swallowing,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Muscle aches,Fatigue,Abdominal pain,Loss of appetite,Chills,Rashes,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Body aches,Feverish,Chills,Joint pain,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Stomach cramps,Headache,Dehydration,Loss of appetite,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Stomach cramps,Dehydration,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,,,,
Roseola,High fever,Swollen lymph nodes,Sore throat,Cough,Diarrhea,Vomiting,Abdominal pain,Body aches,Chills,Feverish,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Headache,Dehydration,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Dehydration,Loss of appetite,Feverish,Rashes,Chills,Joint pain,,,,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Diarrhea,Loss of appetite,Body aches,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Fatigue,Dehydration,Body aches,Feverish,General discomfort,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Stomach cramps,Fatigue,Muscle aches,,,,,,,,
Norovirus Infection,Stomach cramps,Headache,Loss of appetite,Chills,Body aches,General discomfort,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Headache,Cough,Red eyes,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Headache,Fatigue,Muscle aches,Feverish,General discomfort,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,General discomfort,Chills,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Fatigue,Abdominal pain,Loss of appetite,Body aches,General discomfort,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Muscle aches,Body aches,Rashes,Joint pain,,,,,,,
Roseola,High fever,Runny nose,Swollen lymph nodes,Sore throat,Red eyes,Vomiting,Chills,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Dehydration,Body aches,Feverish,Chills,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Dehydration,Muscle aches,Feverish,Chills,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Fatigue,Loss of appetite,Muscle aches,Body aches,General discomfort,Chills,,,,,,,,
Roseola,Rash,Swollen lymph nodes,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,,,,,,,
Roseola,High fever,Irritability,Fatigue,Swollen lymph nodes,Headache,Diarrhea,Vomiting,Loss of appetite,Body aches,Chills,,,,,,
Roseola,High fever,Runny nose,Fatigue,Sore throat,Red eyes,Diarrhea,Body aches,Chills,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Headache,Fatigue,Chills,Body aches,General discomfort,Irritability,,,,,,,
Roseola,Fatigue,Swollen lymph nodes,Loss of appetite,Abdominal pain,Body aches,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Headache,Dehydration,Loss of appetite,Feverish,Rashes,Joint pain,,,,,,,,
Roseola,Runny nose,Rash,Fatigue,Swollen lymph nodes,Sore throat,Vomiting,Rashes,Feverish,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Headache,Cough,Vomiting,Abdominal pain,Rashes,Chills,,,,,,
Roseola,High fever,Irritability,Swollen lymph nodes,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Headache,Red eyes,Loss of appetite,Chills,Feverish,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Loss of appetite,Sweating,Body aches,Rashes,General discomfort,,,,,,,,
Roseola,High fever,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Cough,Diarrhea,Loss of appetite,Body aches,Rashes,Chills,,,,,
Roseola,Runny nose,Rash,Irritability,Swollen lymph nodes,Sore throat,Cough,Diarrhea,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,
Norovirus Infection,Diarrhea,Headache,Fatigue,Abdominal pain,Body aches,General discomfort,Fever,,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Abdominal pain,Chills,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Stomach cramps,Fatigue,Dehydration,Muscle aches,Feverish,Joint pain,,,,,,
Norovirus Infection,Vomiting,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Irritability,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,Chills,General discomfort,Fever,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Bloody stools,Stomach cramps,Dehydration,Body aches,Feverish,Joint pain,,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Loss of appetite,Sore muscles,Mild fever,,,,,,,,,,,
Roseola,High fever,Sore throat,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,,,,,,,,,
Roseola,High fever,Runny nose,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Loss of appetite,Abdominal pain,Rashes,Chills,Feverish,,,,
Roseola,Fatigue,Swollen lymph nodes,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Feverish,,,,,,
Norovirus Infection,Muscle aches,Nausea,Headache,Abdominal pain,Loss of appetite,Chills,Body aches,Fever,Irritability,,,,,,,
Norovirus Infection,Diarrhea,Nausea,Fatigue,Abdominal pain,Loss of appetite,Sweating,Irritability,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Headache,Dehydration,Loss of appetite,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Headache,Muscle aches,Feverish,Chills,,,,,,,
Impetigo,Discolored sores,Blisters,Yellow crust,Itchiness,Swelling,Discolored marks,,,,,,,,,,
Norovirus Infection,Vomiting,Headache,Dehydration,Chills,Sweating,Body aches,Rashes,,,,,,,,,
Roseola,Rash,Swollen lymph nodes,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,,,,,,,,,
Shigellosis (Bacillary Dysentery),Dehydration,Feverish,Chills,Joint pain,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Body aches,General discomfort,Joint pain,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Dehydration,Chills,Irritability,,,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Nausea,Headache,Chills,Fever,,,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Muscle aches,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Stomach cramps,Headache,Fatigue,Dehydration,Body aches,Rashes,General discomfort,,,,,
Roseola,High fever,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,,,,,
Scarlet Fever,Sore throat,Pale skin around lips,Fever (100.4�F / 38.0�C or higher),Sore and red throat with patches,,,,,,,,,,,,
Roseola,Rash,Irritability,Sore throat,Headache,Cough,Red eyes,Vomiting,Body aches,Rashes,Chills,Feverish,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Irritability,Mouth sores,Red spots,Headache,Mild fever,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Nausea,Chills,Sweating,Body aches,Rashes,Fever,,,,,,,
Mumps,Pain while chewing or swallowing,Trouble chewing,Headache,Tiredness,Loss of appetite,,,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Headache,Fatigue,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,Fever,,,,,
Norovirus Infection,Muscle aches,Nausea,Headache,Fatigue,Chills,Sweating,General discomfort,Irritability,,,,,,,,
Roseola,High fever,Rash,Fatigue,Vomiting,Chills,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Loss of appetite,Body aches,General discomfort,Joint pain,,,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Fever,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,,,,,
Scarlet Fever,Swollen glands,Fever,Sore throat,Red lines in body folds,Red rash on the body,Strawberry tongue,"Tender, enlarged neck glands",Headache and body aches,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Feverish,Rashes,Joint pain,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Dehydration,Muscle aches,Body aches,Feverish,Rashes,Chills,,,,,,,
Mumps,Headache,Fever,Muscle aches,Trouble chewing,Testicle pain and tenderness,Headache,Muscle aches,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Headache,Red eyes,Loss of appetite,Body aches,Chills,Feverish,,,,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Rashes,Chills,Feverish,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Chills,Sweating,Body aches,Fever,Irritability,,,,,,,,
Roseola,High fever,Fatigue,Sore throat,Headache,Cough,Red eyes,Loss of appetite,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Fatigue,Muscle aches,General discomfort,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Headache,Abdominal pain,Loss of appetite,Dehydration,Chills,Rashes,Fever,Irritability,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Stomach cramps,Fatigue,Dehydration,Feverish,,,,,,,,,
Roseola,Runny nose,Irritability,Diarrhea,Loss of appetite,Abdominal pain,Chills,Feverish,,,,,,,,,
Roseola,High fever,Runny nose,Swollen lymph nodes,Headache,Loss of appetite,Rashes,Feverish,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Bloody stools,Fatigue,Loss of appetite,Muscle aches,Body aches,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Headache,Fatigue,Muscle aches,Chills,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Bloody stools,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,General discomfort,Chills,,,,,
Roseola,High fever,Irritability,Swollen lymph nodes,Sore throat,Headache,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Stomach cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Feverish,General discomfort,Joint pain,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Stomach cramps,Headache,Feverish,Joint pain,,,,,,,,,,
Roseola,High fever,Runny nose,Fatigue,Sore throat,Headache,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Sore throat,Red eyes,Diarrhea,Abdominal pain,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Stomach cramps,Fatigue,Feverish,Rashes,General discomfort,Joint pain,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Mouth sores,Blisters,Fatigue,Cough,General discomfort,,,,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Loss of appetite,Rashes,,,,,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Diarrhea,Vomiting,Loss of appetite,Body aches,,,,,,,,
Roseola,Irritability,Sore throat,Red eyes,Loss of appetite,Body aches,Rashes,Feverish,,,,,,,,,
Head Lice Infestation,Tickling sensation in hair,Infection from scratched skin,Tickling feeling,Irritability,Trouble sleeping,,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Loss of appetite,Irritability,Sore throat,Mouth sores,Blisters,Fatigue,Cough,General discomfort,Mild fever,Difficulty swallowing,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,Fever,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Abdominal pain,Body aches,Rashes,Feverish,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Mouth sores,Fatigue,Cough,Headache,General discomfort,Mild fever,,,,,,,,
Roseola,Fatigue,Sore throat,Headache,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,,,,,,,
Fifth Disease (Erythema Infectiosum),Sore throat,Runny or stuffy nose,Swollen joints,Myalgias,Vomiting,,,,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Swollen lymph nodes,Sore throat,Red eyes,Vomiting,Chills,Feverish,,,,,,,
Roseola,Runny nose,Rash,Swollen lymph nodes,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Muscle aches,General discomfort,,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Body aches,Rashes,General discomfort,Fever,,,,
Roseola,Rash,Cough,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Bloody stools,Loss of appetite,Muscle aches,Body aches,Chills,Joint pain,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Abdominal pain,Chills,Body aches,General discomfort,Fever,Irritability,,,,,
Roseola,Runny nose,Rash,Irritability,Cough,Red eyes,Diarrhea,Loss of appetite,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Loss of appetite,Muscle aches,Chills,Joint pain,,,,,,
Roseola,Runny nose,Swollen lymph nodes,Sore throat,Red eyes,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,,,,,
Norovirus Infection,Stomach cramps,Nausea,Headache,Fatigue,Abdominal pain,Dehydration,Sweating,Body aches,Fever,Irritability,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Irritability,Mouth sores,Blisters,Cough,Sore muscles,General discomfort,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Swollen lymph nodes,Headache,Cough,Vomiting,,,,,,,,
